gyarto;modell;gyartas_eve;szin;alvazszam;rendszam;uzemanyag;ajtok_szama;kormany_oldal;forgalomban
Lincoln;Continental;1986;Khaki;2HNYD18472H132458;QJD-064;elektromos;3;jobb;true
GMC;Yukon;2012;Green;JHMZF1C67ES781976;PQV-048;elektromos;3;jobb;true
Mercedes-Benz;SL-Class;1999;Maroon;1FTWW3A58AE347209;MOW-918;elektromos;5;bal;true
Subaru;Baja;2005;Puce;WAULD64B82N442950;EOL-253;dízel;5;jobb;false
Isuzu;Oasis;1998;Teal;TRUTX28N711340218;PZH-519;benzin;3;jobb;false
Ford;Bronco;1985;Red;1G6DL8E39D0695369;AJE-342;dízel;3;jobb;true
Mazda;B-Series Plus;2003;Fuscia;JTDZN3EU5FJ610226;QCF-101;benzin;5;bal;true
Infiniti;G;2011;Puce;SCFFDABE6AG291157;QST-146;benzin;5;jobb;true
Audi;RS 4;2008;Purple;3VW517AT2FM695055;IBN-075;dízel;5;jobb;true
Honda;Civic;1989;Khaki;WBAPK5C58BF101376;MQO-086;dízel;5;jobb;false
Suzuki;X-90;1997;Violet;3D73M4CL6AG840317;ZDF-446;elektromos;5;bal;false
Chevrolet;Express 3500;2009;Turquoise;1G6DK5EV2A0693347;DQA-904;elektromos;5;jobb;true
Jeep;Commander;2007;Fuscia;TRUVD38J391661429;WTL-786;elektromos;5;bal;false
Mercedes-Benz;G55 AMG;2006;Violet;19XFB4F35EE509433;HTW-598;benzin;3;jobb;false
GMC;Savana 3500;2002;Green;5J8TB3H75GL821342;YHB-238;elektromos;5;jobb;true
Dodge;Viper RT/10;1995;Blue;JN1CV6EK7FM821841;BIJ-885;dízel;5;bal;true
Mercury;Grand Marquis;2006;Turquoise;JM1NC2MF8D0150239;EEQ-295;dízel;5;bal;false
Maserati;430;1991;Aquamarine;WAUDH94F07N227356;GQC-715;elektromos;3;jobb;true
Hummer;H2;2009;Puce;SCFEDEAN2CG510171;XQU-179;dízel;3;bal;false
Audi;A8;2011;Teal;1G6DV1EP1D0947779;TNI-298;dízel;5;jobb;false
Jaguar;S-Type;2006;Blue;WBAVB73558V287038;FLO-441;benzin;3;jobb;true
Mitsubishi;Pajero;2001;Maroon;1N6AA0CA4DN511187;YHT-057;benzin;5;jobb;true
Cadillac;Seville;2002;Khaki;3GYFNCEYXAS576968;GAY-707;dízel;3;jobb;true
GMC;Sonoma;1996;Turquoise;WBADX7C57DP756772;UZK-261;elektromos;3;bal;true
Chevrolet;G-Series G20;1995;Puce;1FTSW2A55AE721171;FKD-173;elektromos;3;bal;true
Lexus;LS;1994;Indigo;WAUDN94F98N182699;HSW-254;benzin;5;jobb;false
Hyundai;Tucson;2005;Maroon;1G6KD57Y36U705191;EIH-181;elektromos;5;bal;true
Ford;Contour;1996;Orange;1FTEX1CW8AF163160;NEE-787;dízel;3;bal;true
Dodge;Grand Caravan;2008;Green;1YVHZ8BH6B5111436;NTX-272;benzin;5;bal;false
Jaguar;XK Series;1998;Violet;5N1AT2ML0FC567436;QNS-017;benzin;5;jobb;false
Chevrolet;Malibu;2004;Pink;1D7RV1CT4BS318463;LIF-503;dízel;5;bal;false
Mazda;Protege;2003;Khaki;JM1NC2PF2E0393025;URF-704;benzin;3;jobb;true
Hyundai;Elantra;2004;Indigo;WBAFB33401L932524;VMK-854;elektromos;5;jobb;true
Volvo;S60;2011;Khaki;2T2BK1BA3FC033213;EBP-838;benzin;3;bal;true
Lincoln;Navigator;2011;Pink;5GADX33L45D579127;BSC-650;dízel;3;jobb;false
Ford;Econoline E250;1994;Violet;WBAHN83518D284217;HMK-350;dízel;3;jobb;true
Porsche;911;1985;Fuscia;WAUMV94EX8N794739;APR-068;dízel;5;jobb;true
Lexus;IS-F;2010;Goldenrod;WAUDF98E15A337148;CQN-091;benzin;3;jobb;false
Ford;Windstar;1995;Purple;WAUBFAFLXFA108625;QPA-315;elektromos;3;jobb;true
Nissan;Sentra;2007;Violet;JN1CV6EK3BM035075;CRL-915;dízel;3;jobb;true
Volkswagen;New Beetle;1998;Khaki;SALWR2TF4FA217168;NUZ-726;elektromos;5;bal;true
Buick;LeSabre;1991;Red;WAUR2AFDXDN095755;DSV-635;dízel;5;bal;false
Acura;Legend;1989;Orange;SCFEBBCF1BG832857;VIS-368;benzin;3;bal;false
Saab;9-3;2006;Green;WBA1M1C53FV886927;OKT-427;benzin;5;bal;true
Mitsubishi;Outlander Sport;2012;Turquoise;WAUED54B11N080137;DEE-449;dízel;3;jobb;false
Volvo;S90;1998;Indigo;5BZAF0AA8FN454423;VZC-038;dízel;3;jobb;true
Ford;Windstar;2004;Yellow;WAULC58EX5A699072;JND-619;benzin;5;jobb;false
Lamborghini;Diablo;1998;Aquamarine;WBAVD33586K294499;YWT-063;elektromos;3;jobb;true
GMC;Vandura 3500;1994;Green;JH4CW2H57CC764842;OJV-125;benzin;3;jobb;false
Suzuki;Swift;1992;Crimson;1N4AA5AP1CC908136;JNV-151;dízel;5;bal;true
Plymouth;Reliant;1981;Turquoise;WAUMFAFL8DN352904;GMW-357;elektromos;3;jobb;true
Jeep;Compass;2012;Green;19XFA1E36BE649408;TYH-236;elektromos;5;jobb;true
Lexus;RX;2001;Khaki;WDDLJ7DB3EA562870;HTB-028;benzin;3;jobb;false
Mercedes-Benz;C-Class;1996;Khaki;JM1BL1K50B1240824;TYK-842;elektromos;3;bal;true
GMC;Suburban 1500;1996;Blue;5FNRL5H26EB256301;XTU-671;elektromos;5;jobb;true
Lincoln;Navigator;2002;Green;WBADN53422G190907;ADE-063;benzin;3;jobb;true
Land Rover;Defender;1993;Puce;WAUPN94EX8N290835;SEM-450;dízel;5;bal;false
GMC;Savana 1500;2011;Crimson;WA1WMAFE6DD789626;RQV-249;dízel;5;bal;true
Suzuki;XL-7;2008;Yellow;WA1DGAFE7BD238732;UDY-478;dízel;5;bal;false
Mercedes-Benz;W201;1992;Fuscia;1FTEW1E89AK909060;LKR-495;benzin;3;jobb;false
Lincoln;Continental Mark VII;1991;Violet;19UUA66238A796874;YZW-929;benzin;3;bal;false
BMW;M3;1998;Violet;WBA3N5C53EK810301;PEW-837;dízel;5;bal;false
Volkswagen;Eos;2011;Red;JH4CU2E60AC999499;UHL-330;benzin;5;bal;true
Toyota;Camry;2008;Puce;WBAVB33536K856766;WKX-944;dízel;5;jobb;true
Buick;Regal;1997;Red;WBA3A9C58DF119534;EMT-762;dízel;3;bal;true
Peugeot;207;2007;Red;WBA4B3C55FD825163;LTQ-584;dízel;5;jobb;true
Mazda;626;1983;Red;1GT01XEG1FZ872090;CAM-646;dízel;3;jobb;false
Mitsubishi;Diamante;2002;Violet;2C3CDXGJ3FH875493;GRB-144;benzin;5;bal;false
BMW;600;1959;Blue;JH4CU2F68CC984380;YMY-712;dízel;5;jobb;true
Kia;Rondo;2009;Maroon;4T1BF3EK0BU725592;GMN-471;dízel;5;bal;false
Audi;S6;2008;Goldenrod;5TDDCRFH5FS017814;SEQ-786;benzin;5;jobb;false
Land Rover;Range Rover;2010;Pink;SCBLF44J87C941181;XBY-266;elektromos;3;jobb;true
Chevrolet;Corvette;1975;Purple;WBALW3C50FC571335;WXH-227;elektromos;3;bal;true
Toyota;Tercel;1995;Orange;KMHHU6KJ3FU119917;RZE-736;dízel;5;jobb;true
Dodge;Neon;1998;Turquoise;WBAAV33451E079639;EWX-148;dízel;3;bal;true
Ford;Escort;2004;Maroon;1FTEW1E86AK749008;ZVQ-935;benzin;5;bal;true
Buick;Park Avenue;2003;Turquoise;1N4AL2AP4CN811364;VYM-426;dízel;5;bal;true
Mitsubishi;Diamante;1998;Yellow;WBALY1C56ED315126;CXL-867;elektromos;3;jobb;true
Buick;Riviera;1988;Orange;1D7RV1CT1AS570234;AUT-842;benzin;5;jobb;true
Maybach;Landaulet;2010;Purple;1GYFC66828R432902;VNC-211;benzin;5;jobb;true
Ford;E250;2008;Pink;WAULFAFH6BN067008;IFP-788;benzin;5;bal;true
Chrysler;Town & Country;1993;Maroon;2G4GU5GX1E9001640;TEU-496;dízel;5;jobb;false
Pontiac;Bonneville;1995;Pink;1FTWW3CY8AE079138;HAS-716;elektromos;5;jobb;false
GMC;Savana 1500;1997;Aquamarine;19UUA56943A199328;KWJ-777;benzin;5;bal;false
Honda;Prelude;1986;Aquamarine;WAUYP64B91N134505;LSL-577;elektromos;5;jobb;true
Mercedes-Benz;SLR McLaren;2005;Aquamarine;WBAHN83526D001529;AIF-225;benzin;5;bal;true
Pontiac;Sunbird;1993;Indigo;WAUBF78E66A974954;PVF-392;dízel;3;jobb;false
Kia;Sportage;1996;Violet;WAULH64B81N745651;WXV-596;dízel;3;bal;true
Toyota;Prius;2012;Teal;3D4PG4FB8AT810817;GZS-821;dízel;5;jobb;true
Kia;Sportage;2012;Turquoise;5UXFH0C52BL509890;JED-878;elektromos;5;jobb;false
Lexus;LS Hybrid;2012;Orange;1G6DJ8EY0B0323711;MSA-706;dízel;3;bal;false
Toyota;Prius;2007;Goldenrod;1G4GC5GR0DF158831;NKM-340;dízel;5;jobb;false
Ford;Ranger;1989;Mauv;3GYFNFEY3AS125950;BEY-485;benzin;3;bal;true
Lincoln;Town Car;1997;Khaki;5J6TF1H35EL966103;ZJX-008;elektromos;5;jobb;true
Mercury;Sable;1987;Aquamarine;WUARL48H65K667248;PNX-790;elektromos;3;bal;false
Toyota;Land Cruiser;2002;Turquoise;4USFE43567L891781;HLA-961;benzin;5;bal;false
Ford;F-Series;2002;Goldenrod;WA1VMBFE4ED209194;ECT-340;benzin;5;bal;false
Porsche;Boxster;2010;Khaki;JN1AZ4EH0FM112155;TUK-095;dízel;5;bal;false
Ford;Club Wagon;1996;Goldenrod;2C3CDXGJXDH004426;UWG-100;dízel;5;bal;false
Lincoln;Mark VIII;1998;Fuscia;3C6JD6EP6CG893204;CTM-064;benzin;5;jobb;true
Audi;90;1993;Turquoise;1B3CB2HA8AD248394;STA-318;benzin;5;bal;true
Ford;Taurus;2010;Maroon;19UUA9F70EA756356;OWI-910;dízel;5;jobb;false
Mazda;Mazdaspeed 3;2011;Pink;WAULFAFR4DA986900;HKW-757;dízel;5;jobb;false
Ford;Taurus X;2009;Turquoise;JHMZF1C68ES562752;EXR-371;benzin;5;jobb;false
Ford;Falcon;1966;Goldenrod;1G6DK8E37D0846678;BJZ-928;dízel;5;bal;false
Toyota;Celica;1976;Fuscia;WAUKFBFL5AA494160;SLN-414;dízel;3;bal;true
Dodge;Ram 3500;2001;Yellow;WBALL5C55EP822796;MZH-070;benzin;3;bal;true
Suzuki;XL7;2008;Green;JN8AZ2KR1BT034178;WQI-177;elektromos;3;jobb;false
Mercury;Grand Marquis;2007;Blue;3C6JD7BP7CG730507;PUI-264;elektromos;3;jobb;true
Audi;A8;2005;Violet;19VDE1F34EE028434;JAR-147;benzin;5;jobb;true
Lincoln;Continental;1987;Violet;3VW4S7ATXEM951479;GWJ-573;elektromos;3;jobb;true
Mercury;Mystique;1997;Aquamarine;JN1BJ0HP7FM282729;UBS-386;elektromos;5;bal;false
Ford;Mustang;1985;Crimson;5UXZW0C5XC0631211;BMW-765;benzin;5;jobb;false
Jaguar;XJ Series;1998;Khaki;1GD12ZCG6BF061604;SRR-651;benzin;3;jobb;false
Audi;A6;2007;Khaki;WAUML44D02N517413;UTN-585;elektromos;5;jobb;false
Mercedes-Benz;CLS-Class;2011;Pink;4A37L3ET8AE218747;QCQ-608;dízel;3;jobb;true
Mazda;Mazda6;2004;Yellow;1N4CL2AP4AC003789;QFO-684;dízel;3;jobb;true
Chevrolet;Suburban 2500;2009;Turquoise;2G4WF521441589247;JGI-548;elektromos;5;bal;false
Ford;E-Series;2004;Pink;WBAEJ13432A635750;KAG-164;dízel;5;bal;false
Pontiac;Grand Prix;1991;Red;1N6BF0KM2FN435182;VHD-694;benzin;5;bal;false
Porsche;968;1994;Khaki;1HGCR2E73EA383696;FKA-644;benzin;3;bal;true
Buick;Park Avenue;2003;Indigo;2T1BPRHE3EC033127;CYT-821;dízel;3;jobb;false
Mitsubishi;Eclipse;2012;Aquamarine;3N1CE2CP2EL969847;PCN-740;benzin;5;bal;false
Ford;GT;2005;Indigo;WAUDFAFL2FN911916;JWN-573;dízel;3;bal;true
Infiniti;EX;2008;Violet;2G4WC552761760802;TBD-481;dízel;3;jobb;true
Lincoln;LS;2001;Fuscia;1GYFC362X9R348967;WRV-213;elektromos;3;bal;false
Hyundai;Santa Fe;2004;Fuscia;YV126MFK7F2008210;GJA-132;elektromos;3;jobb;false
BMW;5 Series;1995;Khaki;KNAFK4A60E5383279;QRQ-793;dízel;5;bal;true
Volkswagen;GTI;1985;Goldenrod;YV140MAM0F1463490;ZHV-739;dízel;3;bal;true
Maserati;Spyder;2003;Green;1N6AF0KXXEN037996;RNZ-750;dízel;3;bal;true
Cadillac;XLR-V;2006;Blue;WAUVT68E35A486205;WUE-866;benzin;5;jobb;true
Cadillac;Escalade EXT;2002;Fuscia;WUAW2BFC6FN057822;YIB-101;benzin;3;jobb;true
Hyundai;Accent;1995;Yellow;2G4WY55J611999520;CCL-723;dízel;3;jobb;true
Lincoln;Mark LT;2006;Goldenrod;JN1BY1AR0FM817302;HTU-192;dízel;5;bal;false
Mazda;B-Series Plus;1994;Blue;4T1BF1FK5FU521377;VCM-997;benzin;3;jobb;false
Volvo;S40;2011;Fuscia;WAUFFAFL6FN869002;NUK-365;elektromos;3;bal;false
Nissan;Titan;2005;Maroon;3C6JD6EP5CG411368;AGV-234;elektromos;3;jobb;true
Volkswagen;Eos;2011;Goldenrod;5NPE24AF0FH473337;RVT-384;dízel;5;jobb;true
Mercedes-Benz;300D;1993;Orange;WAUFGAFC3FN591950;THQ-281;elektromos;3;bal;false
Ford;Ranger;1999;Red;SCFFDABM9DG693444;HKR-662;elektromos;5;bal;true
Ferrari;F430;2008;Teal;1N4AB7AP5DN071180;SRF-451;dízel;5;bal;false
Mercury;Mountaineer;1999;Green;WAUDFAFL4BN246852;KWW-694;dízel;5;bal;false
Bentley;Arnage;2005;Goldenrod;1FMCU9D77AK850493;XRN-757;dízel;5;bal;true
Mercury;Topaz;1994;Blue;WAULT68E53A111422;BBY-276;dízel;3;bal;false
Ford;Econoline E350;1995;Teal;WP0AA2A96CS317123;ZVW-943;elektromos;5;bal;false
Subaru;Impreza;1994;Pink;1G6AH5R39E0605278;WIS-733;benzin;5;bal;false
Dodge;Ram 2500 Club;1998;Pink;WDDEJ7EB3BA306540;TDV-895;benzin;5;bal;false
Chrysler;Sebring;1996;Aquamarine;WAUD2AFD9DN923644;JFI-411;elektromos;5;bal;false
Chrysler;300M;2002;Orange;WAUDF98EX8A035037;QHW-820;dízel;5;bal;true
Mercury;Lynx;1987;Teal;SAJWA4DC6AM595399;PMT-515;elektromos;5;jobb;true
Subaru;SVX;1993;Red;1FTWW3CY2AE408707;XLT-966;dízel;5;jobb;false
Ford;Econoline E250;1994;Purple;WA1LGAFE6CD034727;TKC-845;benzin;3;bal;false
Chrysler;300M;2003;Red;1D7RE3BKXAS706039;EAZ-707;benzin;5;jobb;false
Audi;Q7;2010;Teal;JA4AS2AW1AZ338642;AWY-130;dízel;3;jobb;true
Chevrolet;Camaro;1977;Indigo;4T1BF3EK7BU480144;LQA-402;dízel;5;jobb;true
Dodge;Ram 1500;2010;Yellow;WBAYE4C54DD875354;LTV-025;dízel;5;jobb;false
Toyota;Sequoia;2001;Purple;1G6AH5R30D0536043;KBT-093;benzin;3;bal;false
Porsche;Cayenne;2006;Pink;KNAFU6A21B5701215;OVG-963;dízel;3;jobb;false
Lexus;LS;2002;Green;WAUGU54D31N710895;MWC-193;benzin;5;bal;true
Scion;xB;2004;Blue;WBAEN33444E177390;CVK-584;dízel;3;bal;false
Acura;Integra;1999;Pink;WBAVM1C57DV464481;UPX-415;benzin;5;jobb;true
Aston Martin;V8 Vantage;2006;Pink;WAUFFAFL5DN674621;HRK-186;benzin;5;jobb;false
Toyota;Sequoia;2002;Mauv;1FTFW1E8XAF476362;UVP-635;dízel;5;bal;false
Subaru;Baja;2006;Teal;3D7JV1EP6AG986638;LQC-936;benzin;3;jobb;true
Mercedes-Benz;S-Class;1988;Goldenrod;KNADH4A31A6520083;JEB-578;benzin;5;jobb;true
Toyota;Camry Hybrid;2011;Mauv;1C4SDHCT7CC332800;HFD-133;benzin;3;jobb;false
Ford;Windstar;2002;Pink;WBAWL73527P726703;GXX-709;benzin;3;bal;true
Oldsmobile;Aurora;2002;Turquoise;1FTMF1CW0AK175373;GQE-080;benzin;3;bal;false
Mercedes-Benz;R-Class;2012;Fuscia;1N6AA0CC3DN813278;LWX-400;benzin;5;jobb;true
Scion;tC;2007;Mauv;5UXZV4C57DL615008;JBE-076;elektromos;3;bal;false
Suzuki;Sidekick;1996;Violet;JN8AZ2NC8B9846534;LTL-171;elektromos;5;jobb;false
Volkswagen;Beetle;1967;Crimson;WAUAF48H19K218208;PTB-078;benzin;5;jobb;true
GMC;3500 Club Coupe;1992;Purple;WAUVC58E43A170769;RJB-496;dízel;5;bal;true
Honda;Fit;2010;Orange;5UXWX5C58BL646994;UVV-544;dízel;3;bal;false
GMC;Vandura G3500;1995;Khaki;JTDKDTB37C1275658;GAO-449;benzin;5;jobb;true
Jeep;Grand Cherokee;2006;Yellow;5UMDU93518L659664;LJI-788;dízel;3;jobb;true
Toyota;Corolla;2004;Orange;2D4RN3DG5BR625846;IFE-050;elektromos;3;jobb;false
Dodge;Dakota;1994;Orange;3GYFNDE34CS382143;NSY-930;elektromos;3;bal;true
Ford;Edge;2011;Orange;WUADU78E28N039561;KHL-492;benzin;5;bal;false
Dodge;Intrepid;1996;Turquoise;WAUSH74FX8N088138;ZWK-750;benzin;3;bal;false
Honda;Civic;2009;Turquoise;5TFAW5F13FX967427;ESA-975;dízel;3;bal;true
Honda;CR-X;1988;Blue;YV4940BZ5E1079719;ESE-671;elektromos;5;bal;true
Mercedes-Benz;E-Class;2006;Orange;3D73Y3CL9BG286884;CIG-910;elektromos;3;jobb;false
Mercedes-Benz;S-Class;1995;Indigo;19UUA8F51DA139474;DDR-081;elektromos;3;jobb;true
Volvo;C70;2010;Aquamarine;WAUSGAFC8CN609224;HKM-530;dízel;5;bal;false
Bentley;Continental Flying Spur;2008;Fuscia;JA32U2FU1EU050231;YXN-059;elektromos;3;bal;true
Scion;iQ;2012;Maroon;1N6AA0EJ7FN258415;YGT-118;benzin;3;bal;false
Chevrolet;S10 Blazer;1994;Red;SALVP2BG0FH275569;RKC-252;elektromos;5;jobb;true
Chevrolet;Suburban 1500;2006;Aquamarine;SAJWA4EC6BM647193;WTG-491;elektromos;5;bal;true
BMW;Z4;2005;Fuscia;3N1BC1CP3CK163093;ZFL-034;benzin;3;jobb;true
Subaru;Legacy;2007;Puce;4A4JM2AS7AE988721;QNZ-941;benzin;3;jobb;true
Mercury;Tracer;1995;Violet;2T1BPRHE8EC077804;YUW-605;elektromos;3;jobb;true
Suzuki;Swift;1993;Orange;4T1BD1EB1EU232728;GZD-339;benzin;3;jobb;true
GMC;Yukon;2011;Green;WAULC58E95A848135;VRT-119;benzin;5;jobb;false
Subaru;XT;1986;Aquamarine;2G4WF521331998807;NME-871;elektromos;3;jobb;false
Chevrolet;Blazer;1992;Violet;1N6AA0ED2FN875828;ZOC-191;benzin;3;bal;true
Chrysler;Cirrus;1995;Red;JH4NA12694T590860;FEB-561;benzin;3;jobb;false
Honda;CR-V;1997;Mauv;NM0KS9BN3CT597676;BWV-648;benzin;5;bal;false
Honda;Prelude;1994;Pink;1C3BCBEB2CN763994;DTH-522;elektromos;5;jobb;false
GMC;Vandura 1500;1992;Puce;2HNYD2H67DH452261;VVY-352;benzin;5;bal;true
Infiniti;G;1994;Mauv;WAUKH74F38N377121;NTP-292;dízel;5;bal;true
GMC;Sonoma;1997;Aquamarine;3C3CFFAR3CT239632;HCV-936;benzin;3;jobb;false
Subaru;Legacy;2009;Yellow;2C4RDGDG8FR550024;ASK-182;benzin;5;bal;true
Toyota;Celica;1997;Indigo;1N6AA0CA4EN689618;ZUR-943;elektromos;5;jobb;false
Jeep;Cherokee;1999;Blue;WAUNG74F09N704415;FDF-320;elektromos;5;bal;false
Volkswagen;Passat;2004;Crimson;2C3CCAAG1CH746046;EGJ-090;elektromos;3;bal;true
Land Rover;Defender;1994;Yellow;JH4DC53874S164457;TLJ-442;benzin;5;jobb;true
Oldsmobile;LSS;1998;Fuscia;2C3CDYAG9DH984797;LGI-473;elektromos;5;jobb;true
Volkswagen;riolet;1993;Khaki;JN8AE2KP9D9895506;MPL-145;elektromos;3;jobb;true
Mazda;B-Series Plus;1994;Indigo;1GD22ZCG0DZ336387;PMZ-050;dízel;5;bal;true
Mitsubishi;Excel;1989;Yellow;WAUPL58E14A749826;ZJF-087;benzin;5;bal;true
GMC;Safari;1992;Yellow;WBA3A5C53CF477552;LYQ-673;dízel;3;bal;true
Pontiac;Montana;2004;Indigo;1FADP5CUXEL516158;BKB-684;dízel;3;jobb;true
Ford;Fairlane;1965;Crimson;1G6AA5RX5D0742305;BYC-103;dízel;3;bal;true
Mercedes-Benz;E-Class;1989;Teal;KNADM4A31F6722537;QNJ-836;benzin;3;bal;true
Hummer;H3;2008;Puce;1GYS4CEF9ER842862;YMB-006;dízel;3;bal;true
Pontiac;Sunfire;1998;Khaki;WA1DGBFE7CD431714;WPL-788;elektromos;3;jobb;true
Chevrolet;Silverado;2009;Indigo;WBA5A7C56FD803820;NQA-548;benzin;3;bal;false
Buick;Century;2000;Violet;JH4DC54886S149077;EAM-647;dízel;5;bal;true
Kia;Rio;2002;Orange;3C6JD7CT9CG666644;ORG-523;dízel;5;bal;true
GMC;Yukon XL;2006;Yellow;1FTMF1E86AK251838;XER-295;benzin;3;jobb;true
Buick;Coachbuilder;1994;Goldenrod;3VWML7AJ1DM331226;JQC-483;dízel;5;bal;false
Audi;A4;2003;Maroon;WAUAF98E26A304597;FMI-237;elektromos;3;jobb;false
Volvo;240;1993;Yellow;1G4PT5SV9E4913332;FGL-629;benzin;5;jobb;true
Suzuki;Sidekick;1989;Blue;1GD22XEG8FZ881466;OYE-392;elektromos;3;bal;true
Mitsubishi;Challenger;2003;Turquoise;1N6AF0LXXEN784335;BDK-139;dízel;5;jobb;false
Ford;Mustang;2000;Pink;WA1AM94L99D444317;BFF-944;dízel;3;jobb;false
Mitsubishi;Eclipse;2002;Pink;SAJWA1CBXBL389517;IIN-670;elektromos;5;jobb;true
Buick;Electra;1989;Khaki;WAUKF98E47A847441;XLU-738;elektromos;5;jobb;true
Toyota;Venza;2013;Mauv;WUADUAFG9CN543387;CDF-479;benzin;3;jobb;false
Audi;A3;2011;Indigo;1GYEC63868R339381;SKS-712;dízel;3;jobb;true
Honda;Odyssey;2002;Blue;WBAAV53491J208761;VZF-693;dízel;5;jobb;true
Hyundai;Accent;2013;Indigo;4F2CY0C75BK917473;EUK-394;elektromos;5;bal;false
Mercury;Capri;1992;Orange;5UXFE43567L447255;PHV-896;dízel;3;bal;true
MINI;Cooper Countryman;2012;Maroon;SCFAD01A77G865499;ZPW-614;benzin;3;jobb;true
Isuzu;Rodeo;2002;Violet;2C3CCAKG1FH110620;ASW-442;elektromos;3;bal;false
Mercedes-Benz;SL-Class;1998;Green;3D4PG3FG6BT655546;QKC-513;benzin;5;jobb;false
Chevrolet;Silverado 2500;2009;Orange;WBAUU3C57BA708075;KAR-905;benzin;5;jobb;false
Infiniti;FX;2005;Red;JN1BY1PP4FM047532;FKB-599;benzin;3;jobb;true
Ford;Escape;2013;Indigo;1FMNE1BW6AD483009;SLH-827;benzin;5;jobb;false
Plymouth;Breeze;2000;Green;JTEBU5JR2F5334982;NWO-134;benzin;3;bal;true
Bentley;Azure;2008;Maroon;1G6AL5SX9E0637207;XDN-814;elektromos;5;jobb;false
Aston Martin;DB9;2008;Goldenrod;1FTWF3B5XAE750526;BEH-932;elektromos;3;jobb;false
Dodge;Ram 2500 Club;1997;Puce;3D73M3CL2BG093830;JQR-693;elektromos;5;bal;false
Honda;Odyssey;2001;Puce;1FMJU1J56AE602214;JVD-853;dízel;3;bal;true
Lincoln;Town Car;2006;Mauv;1FTEX1EWXAK577528;DZC-071;dízel;3;bal;true
Daewoo;Leganza;1999;Orange;1D4RE2GG3BC445893;LWC-515;dízel;3;jobb;true
BMW;M5;2008;Green;SCBDP3ZA1BC070993;FIL-487;benzin;3;jobb;false
Dodge;Ram 2500;1997;Teal;1C3BCBFG2CN122094;QCK-430;benzin;5;jobb;true
Hyundai;Santa Fe;2009;Yellow;WBAAZ334X4K540473;CJR-217;elektromos;3;jobb;false
Mercury;Sable;1987;Fuscia;SCFEBBBK9DG361915;MNR-178;benzin;3;jobb;true
Dodge;Viper RT/10;1995;Violet;1G6AH1RX3F0594338;TDY-333;dízel;5;bal;false
Jaguar;XK Series;1998;Khaki;WBA3V5C5XFP787832;NQP-952;benzin;3;bal;true
Honda;Insight;2006;Turquoise;JN1AZ4EHXFM206429;KCT-479;elektromos;3;bal;true
Suzuki;Verona;2005;Red;WBAVB77518N348864;VRV-735;benzin;5;jobb;true
Audi;A6;2010;Crimson;SCBFT7ZA2DC576069;OHZ-814;dízel;3;jobb;true
Audi;Quattro;1992;Teal;2HNYB1H62DH480274;AWV-351;dízel;3;bal;false
Oldsmobile;Cutlass Supreme;1992;Red;2C3CCABG1DH189333;QNH-553;benzin;5;bal;true
Mazda;RX-8;2008;Mauv;WBA3V9C51FP735514;TWM-280;benzin;3;jobb;true
Ford;Probe;1989;Goldenrod;1G6AA5RX1D0499074;TDK-270;dízel;3;jobb;false
Toyota;Solara;1999;Yellow;3TMJU4GNXFM725211;KBK-904;dízel;3;jobb;false
Chrysler;Sebring;1995;Turquoise;19UUA96259A375838;PFG-254;benzin;3;bal;false
Lincoln;MKS;2010;Maroon;JN1AJ0HP7BM970431;OOK-371;dízel;5;jobb;false
Mercedes-Benz;Sprinter 3500;2011;Purple;WBAKG1C54CJ420194;UPE-711;benzin;3;jobb;true
Infiniti;Q;1993;Crimson;WVGAV3AX8EW100883;FNA-030;dízel;3;bal;false
Volkswagen;Jetta;2002;Yellow;3C63D3DL9CG210966;OKH-368;elektromos;3;jobb;true
Infiniti;M;2007;Khaki;SCFEBBAK1BG657977;QHV-561;dízel;5;bal;false
Volvo;V70;2008;Violet;WBAEN33455E303581;BRE-334;elektromos;5;jobb;true
Toyota;Camry;2001;Crimson;3C63D3NL8CG411076;XLV-974;elektromos;3;bal;false
BMW;3 Series;1995;Turquoise;1G6DP1ED6B0574462;QBJ-785;benzin;3;bal;false
Mazda;Mazda6;2013;Indigo;5TDBW5G16FS546729;VJV-369;benzin;3;bal;false
Dodge;Ram Wagon B150;1994;Aquamarine;WAUVT54B32N865425;VEP-413;benzin;5;bal;false
Mercedes-Benz;CLK-Class;2006;Puce;KMHCM3AC1AU210530;UYD-081;elektromos;5;bal;true
Porsche;911;2002;Yellow;WAUVC68E65A945629;VRZ-496;elektromos;3;jobb;true
GMC;Sonoma Club Coupe;1993;Maroon;JTHKD5BH4C2150262;JNG-629;benzin;5;jobb;true
Audi;RS 4;2007;Purple;3FAHP0JA3AR215823;TKX-776;benzin;3;bal;true
Volkswagen;rio;1996;Crimson;4T3BA3BB3BU453159;LGW-970;dízel;3;jobb;false
Mercedes-Benz;S-Class;1985;Crimson;3N1CN7AP8EL364960;LZX-540;benzin;5;bal;true
Honda;Civic;2005;Purple;19UUA9F22AA474749;FIY-505;benzin;3;bal;false
Lexus;ES;1993;Goldenrod;WA1LFAFP9DA047222;GQM-455;dízel;3;jobb;false
Mercury;Mountaineer;2002;Crimson;1G6KD57Y99U417258;NRU-048;dízel;3;bal;true
Nissan;Quest;2012;Pink;JTDKTUD39ED787851;AKQ-077;dízel;3;jobb;true
